Freq.	V(out)
1.00000000000000e+000	7.34211531763403e-003,7.37886269357225e-002
1.02329299228075e+000	7.68523053108982e-003,7.54755912994149e-002
1.04712854805090e+000	8.04423813284236e-003,7.71996022433335e-002
1.07151930523761e+000	8.41986063058498e-003,7.89613650638700e-002
1.09647819614318e+000	8.81285208038824e-003,8.07615905891739e-002
1.12201845430196e+000	9.22399933970003e-003,8.26009945736422e-002
1.14815362149688e+000	9.65412335793772e-003,8.44802970310978e-002
1.17489755493953e+000	1.01040805045311e-002,8.64002215024685e-002
1.20226443461741e+000	1.05747639341058e-002,8.83614942535552e-002
1.23026877081238e+000	1.10671049883090e-002,9.03648433982521e-002
1.25892541179417e+000	1.15820746335651e-002,9.24109979423340e-002
1.28824955169313e+000	1.21206849338164e-002,9.45006867426992e-002
1.31825673855641e+000	1.26839905570392e-002,9.66346373766913e-002
1.34896288259165e+000	1.32730903140384e-002,9.88135749158917e-002
1.38038426460288e+000	1.38891287277013e-002,1.01038220598509e-001
1.41253754462275e+000	1.45332976305410e-002,1.03309290394242e-001
1.44543977074593e+000	1.52068377879697e-002,1.05627493455252e-001
1.47910838816821e+000	1.59110405443194e-002,1.07993530446606e-001
1.51356124843621e+000	1.66472494881623e-002,1.10408091749342e-001
1.54881661891248e+000	1.74168621329755e-002,1.12871855529040e-001
1.58489319246111e+000	1.82213316086432e-002,1.15385485662584e-001
1.62181009735893e+000	1.90621683586908e-002,1.17949629515568e-001
1.65958690743756e+000	1.99409418374956e-002,1.20564915562622e-001
1.69824365246174e+000	2.08592822010141e-002,1.23231950842755e-001
1.73780082874937e+000	2.18188819838140e-002,1.25951318241676e-001
1.77827941003892e+000	2.28214977543794e-002,1.28723573592931e-001
1.81970085860998e+000	2.38689517397858e-002,1.31549242589641e-001
1.86208713666287e+000	2.49631334099060e-002,1.34428817498576e-001
1.90546071796325e+000	2.61060010103101e-002,1.37362753668351e-001
1.94984459975804e+000	2.72995830319569e-002,1.40351465823584e-001
1.99526231496888e+000	2.85459796046529e-002,1.43395324137043e-001
2.04173794466953e+000	2.98473638000547e-002,1.46494650072012e-001
2.08929613085404e+000	3.12059828287405e-002,1.49649711987445e-001
2.13796208950223e+000	3.26241591145534e-002,1.52860720498887e-001
2.18776162394955e+000	3.41042912280375e-002,1.56127823588679e-001
2.23872113856834e+000	3.56488546593547e-002,1.59451101459597e-001
2.29086765276777e+000	3.72604024095746e-002,1.62830561126895e-001
2.34422881531992e+000	3.89415653776966e-002,1.66266130744636e-001
2.39883291901949e+000	4.06950525191880e-002,1.69757653663309e-001
2.45470891568503e+000	4.25236507502184e-002,1.73304882217010e-001
2.51188643150958e+000	4.44302245701464e-002,1.76907471239950e-001
2.57039578276886e+000	4.64177153731951e-002,1.80564971313730e-001
2.63026799189538e+000	4.84891404186397e-002,1.84276821748755e-001
2.69153480392691e+000	5.06475914272479e-002,1.88042343305285e-001
2.75422870333816e+000	5.28962327701951e-002,1.91860730662069e-001
2.81838293126445e+000	5.52382992152268e-002,1.95731044643167e-001
2.88403150312660e+000	5.76770931935001e-002,1.99652204216530e-001
2.95120922666638e+000	6.02159815493457e-002,2.03622978281177e-001
3.01995172040201e+000	6.28583917341579e-002,2.07641977263378e-001
3.09029543251359e+000	6.56078074048177e-002,2.11707644546095e-001
3.16227766016837e+000	6.84677633864998e-002,2.15818247760168e-001
3.23593656929628e+000	7.14418399594601e-002,2.19971869970177e-001
3.31131121482591e+000	7.45336564295135e-002,2.24166400792770e-001
3.38844156139202e+000	7.77468639424131e-002,2.28399527490308e-001
3.46736850452531e+000	8.10851375033223e-002,2.32668726088078e-001
3.54813389233575e+000	8.45521671640642e-002,2.36971252568962e-001
